
=== gemma12 (gemma4:12b) — 19:32 ===
  gemma12 PMC10561433-t1-r1.json: 273s, 10675+1180 tok, fim=stop
  gemma12 PMC10561433-t1-r2.json: 156s, 10675+1185 tok, fim=stop
  gemma12 PMC10561433-t2-r1.json: 175s, 10025+512 tok, fim=stop
  gemma12 PMC10561433-t2-r2.json: 67s, 10025+516 tok, fim=stop
  gemma12 PMC10694978-t1-r1.json: 265s, 9744+1223 tok, fim=stop
  gemma12 PMC10694978-t1-r2.json: 126s, 9744+971 tok, fim=stop
  gemma12 PMC10694978-t2-r1.json: 157s, 9094+503 tok, fim=stop
  gemma12 PMC10694978-t2-r2.json: 71s, 9094+542 tok, fim=stop
  gemma12 PMC10912221-t1-r1.json: 281s, 10160+1308 tok, fim=stop
  gemma12 PMC10912221-t1-r2.json: 175s, 10160+1339 tok, fim=stop
  gemma12 PMC10912221-t2-r1.json: 169s, 9510+527 tok, fim=stop
  gemma12 PMC10912221-t2-r2.json: 70s, 9510+536 tok, fim=stop
  gemma12 PMC11061212-t1-r1.json: 231s, 8022+1184 tok, fim=stop
  gemma12 PMC11061212-t1-r2.json: 145s, 8022+1134 tok, fim=stop
  gemma12 PMC11061212-t2-r1.json: 133s, 7372+505 tok, fim=stop
  gemma12 PMC11061212-t2-r2.json: 65s, 7372+517 tok, fim=stop
  gemma12 PMC12565272-t1-r1.json: 239s, 9739+1094 tok, fim=stop
  gemma12 PMC12565272-t1-r2.json: 135s, 9739+1067 tok, fim=stop
  gemma12 PMC12565272-t2-r1.json: 156s, 9089+519 tok, fim=stop
  gemma12 PMC12565272-t2-r2.json: 67s, 9089+531 tok, fim=stop
  gemma12 PMC4782303-t1-r1.json: 315s, 11566+1469 tok, fim=stop
  gemma12 PMC4782303-t1-r2.json: 153s, 11566+1190 tok, fim=stop
  gemma12 PMC4782303-t2-r1.json: 183s, 10916+528 tok, fim=stop
  gemma12 PMC4782303-t2-r2.json: 71s, 10916+540 tok, fim=stop
  gemma12 PMC5589093-t1-r1.json: 247s, 11381+921 tok, fim=stop
  gemma12 PMC5589093-t1-r2.json: 153s, 11381+1179 tok, fim=stop
  gemma12 PMC5589093-t2-r1.json: 185s, 10731+529 tok, fim=stop
  gemma12 PMC5589093-t2-r2.json: 68s, 10731+504 tok, fim=stop
  gemma12 PMC6907038-t1-r1.json: 206s, 6512+1092 tok, fim=stop
  gemma12 PMC6907038-t1-r2.json: 141s, 6512+1098 tok, fim=stop
  gemma12 PMC6907038-t2-r1.json: 124s, 5862+551 tok, fim=stop
  gemma12 PMC6907038-t2-r2.json: 64s, 5862+504 tok, fim=stop
  gemma12 t3-r1.json: 188s, 9993+614 tok, fim=stop

=== qwen14 (qwen3:14b) — 20:59 ===
  qwen14 PMC10561433-t1-r1.json: 267s, 10729+790 tok, fim=stop
  qwen14 PMC10561433-t1-r2.json: 123s, 10729+806 tok, fim=stop
  qwen14 PMC10561433-t2-r1.json: 73s, 10108+450 tok, fim=stop
  qwen14 PMC10561433-t2-r2.json: 65s, 10108+445 tok, fim=stop
  qwen14 PMC10694978-t1-r1.json: 250s, 9766+922 tok, fim=stop
  qwen14 PMC10694978-t1-r2.json: 134s, 9766+930 tok, fim=stop
  qwen14 PMC10694978-t2-r1.json: 76s, 9145+491 tok, fim=stop
  qwen14 PMC10694978-t2-r2.json: 62s, 9145+435 tok, fim=stop
  qwen14 PMC10912221-t1-r1.json: 269s, 10292+981 tok, fim=stop
  qwen14 PMC10912221-t1-r2.json: 143s, 10292+977 tok, fim=stop
  qwen14 PMC10912221-t2-r1.json: 65s, 9671+410 tok, fim=stop
  qwen14 PMC10912221-t2-r2.json: 60s, 9671+421 tok, fim=stop
  qwen14 PMC11061212-t1-r1.json: 215s, 8189+886 tok, fim=stop
  qwen14 PMC11061212-t1-r2.json: 122s, 8189+871 tok, fim=stop
  qwen14 PMC11061212-t2-r1.json: 59s, 7568+388 tok, fim=stop
  qwen14 PMC11061212-t2-r2.json: 53s, 7568+388 tok, fim=stop
  qwen14 PMC12565272-t1-r1.json: 223s, 9892+716 tok, fim=stop
  qwen14 PMC12565272-t1-r2.json: 107s, 9892+732 tok, fim=stop
  qwen14 PMC12565272-t2-r1.json: 67s, 9271+427 tok, fim=stop
  qwen14 PMC12565272-t2-r2.json: 62s, 9271+437 tok, fim=stop
  qwen14 PMC4782303-t1-r1.json: 251s, 11641+674 tok, fim=stop
  qwen14 PMC4782303-t1-r2.json: 101s, 11641+673 tok, fim=stop
  qwen14 PMC4782303-t2-r1.json: 69s, 11020+422 tok, fim=stop
  qwen14 PMC4782303-t2-r2.json: 55s, 11020+374 tok, fim=stop
  qwen14 PMC5589093-t1-r1.json: 280s, 11666+863 tok, fim=stop
  qwen14 PMC5589093-t1-r2.json: 128s, 11666+853 tok, fim=stop
  qwen14 PMC5589093-t2-r1.json: 59s, 11045+356 tok, fim=stop
  qwen14 PMC5589093-t2-r2.json: 54s, 11045+366 tok, fim=stop
  qwen14 PMC6907038-t1-r1.json: 169s, 6615+743 tok, fim=stop
  qwen14 PMC6907038-t1-r2.json: 110s, 6615+809 tok, fim=stop
  qwen14 PMC6907038-t2-r1.json: 57s, 5994+390 tok, fim=stop
  qwen14 PMC6907038-t2-r2.json: 49s, 5994+366 tok, fim=stop
  qwen14 t3-r1.json: 160s, 7135+615 tok, fim=stop

=== gemma26 (gemma4:26b) — 22:07 ===
  gemma26 PMC10561433-t1-r1.json: 318s, 10675+963 tok, fim=stop
  gemma26 PMC10561433-t1-r2.json: 110s, 10675+1009 tok, fim=stop
  gemma26 PMC10561433-t2-r1.json: 199s, 10025+504 tok, fim=stop
  gemma26 PMC10561433-t2-r2.json: 58s, 10025+509 tok, fim=stop
  gemma26 PMC10694978-t1-r1.json: 253s, 9744+1035 tok, fim=stop
  gemma26 PMC10694978-t1-r2.json: 116s, 9744+1025 tok, fim=stop
  gemma26 PMC10694978-t2-r1.json: 190s, 9094+571 tok, fim=stop
  gemma26 PMC10694978-t2-r2.json: 58s, 9094+552 tok, fim=stop
  gemma26 PMC10912221-t1-r1.json: 259s, 10160+1062 tok, fim=stop
  gemma26 PMC10912221-t1-r2.json: 116s, 10160+1061 tok, fim=stop
  gemma26 PMC10912221-t2-r1.json: 193s, 9510+508 tok, fim=stop
  gemma26 PMC10912221-t2-r2.json: 60s, 9510+509 tok, fim=stop
  gemma26 PMC11061212-t1-r1.json: 202s, 8022+937 tok, fim=stop
  gemma26 PMC11061212-t1-r2.json: 116s, 8022+1211 tok, fim=stop
  gemma26 PMC11061212-t2-r1.json: 138s, 7372+468 tok, fim=stop
  gemma26 PMC11061212-t2-r2.json: 41s, 7372+461 tok, fim=stop
  gemma26 PMC12565272-t1-r1.json: 200s, 9739+841 tok, fim=stop
  gemma26 PMC12565272-t1-r2.json: 79s, 9739+809 tok, fim=stop
  gemma26 PMC12565272-t2-r1.json: 148s, 9089+495 tok, fim=stop
  gemma26 PMC12565272-t2-r2.json: 50s, 9089+525 tok, fim=stop
  gemma26 PMC4782303-t1-r1.json: 224s, 11566+723 tok, fim=stop
  gemma26 PMC4782303-t1-r2.json: 82s, 11566+751 tok, fim=stop
  gemma26 PMC4782303-t2-r1.json: 174s, 10916+447 tok, fim=stop
  gemma26 PMC4782303-t2-r2.json: 50s, 10916+454 tok, fim=stop
  gemma26 PMC5589093-t1-r1.json: 237s, 11381+938 tok, fim=stop
  gemma26 PMC5589093-t1-r2.json: 101s, 11381+939 tok, fim=stop
  gemma26 PMC5589093-t2-r1.json: 179s, 10731+532 tok, fim=stop
  gemma26 PMC5589093-t2-r2.json: 55s, 10731+510 tok, fim=stop
  gemma26 PMC6907038-t1-r1.json: 143s, 6512+831 tok, fim=stop
  gemma26 PMC6907038-t1-r2.json: 78s, 6512+932 tok, fim=stop
  gemma26 PMC6907038-t2-r1.json: 111s, 5862+438 tok, fim=stop
  gemma26 PMC6907038-t2-r2.json: 40s, 5862+512 tok, fim=stop
  gemma26 t3-r1.json: 164s, 7852+641 tok, fim=stop

=== qwen38 (qwen3.8:27b-texto) — 23:22 ===
  qwen38 PMC10561433-t1-r1.json: 877s, 10725+936 tok, fim=stop
  qwen38 PMC10561433-t1-r2.json: 232s, 10725+939 tok, fim=stop
  qwen38 PMC10561433-t2-r1.json: 673s, 10077+444 tok, fim=stop
  qwen38 PMC10561433-t2-r2.json: 171s, 10077+507 tok, fim=stop
  qwen38 PMC10694978-t1-r1.json: 773s, 9760+1065 tok, fim=stop
  qwen38 PMC10694978-t1-r2.json: 221s, 9760+974 tok, fim=stop
  qwen38 PMC10694978-t2-r1.json: 645s, 9112+544 tok, fim=stop
  qwen38 PMC10694978-t2-r2.json: 197s, 9112+626 tok, fim=stop
  qwen38 PMC10912221-t1-r1.json: 929s, 10327+1457 tok, fim=stop
  qwen38 PMC10912221-t1-r2.json: 476s, 10327+1613 tok, fim=stop
  qwen38 PMC10912221-t2-r1.json: 691s, 9679+492 tok, fim=stop
  qwen38 PMC10912221-t2-r2.json: 228s, 9679+631 tok, fim=stop
  qwen38 PMC11061212-t1-r1.json: 719s, 8177+1270 tok, fim=stop
  qwen38 PMC11061212-t1-r2.json: 186s, 8177+879 tok, fim=stop
  qwen38 PMC11061212-t2-r1.json: 562s, 7529+553 tok, fim=stop
  qwen38 PMC11061212-t2-r2.json: 175s, 7529+559 tok, fim=stop
  qwen38 PMC12565272-t1-r1.json: 777s, 9888+1033 tok, fim=stop
  qwen38 PMC12565272-t1-r2.json: 200s, 9888+843 tok, fim=stop
  qwen38 PMC12565272-t2-r1.json: 731s, 9240+725 tok, fim=stop
  qwen38 PMC12565272-t2-r2.json: 197s, 9240+629 tok, fim=stop
  qwen38 PMC4782303-t1-r1.json: 890s, 11558+968 tok, fim=stop
  qwen38 PMC4782303-t1-r2.json: 247s, 11558+960 tok, fim=stop
  qwen38 PMC4782303-t2-r1.json: 798s, 10910+611 tok, fim=stop
