===== Study 7 · ma1 · gemma12 · 14 primaries x 2 (clean texts)
  ma1 PMC10561433-r1: 241s, 929 tok, fim=stop
  ma1 PMC10561433-r2: 162s, 1181 tok, fim=stop
  ma1 PMC10694978-r1: 228s, 968 tok, fim=stop
  ma1 PMC10694978-r2: 165s, 1224 tok, fim=stop
  ma1 PMC10912221-r1: 244s, 1042 tok, fim=stop
  ma1 PMC10912221-r2: 142s, 1045 tok, fim=stop
  ma1 PMC11061212-r1: 191s, 883 tok, fim=stop
  ma1 PMC11061212-r2: 164s, 1227 tok, fim=stop
  ma1 PMC12565272-r1: 242s, 1085 tok, fim=stop
  ma1 PMC12565272-r2: 147s, 1087 tok, fim=stop
  ma1 PMC4782303-r1: 296s, 1267 tok, fim=stop
  ma1 PMC4782303-r2: 166s, 1210 tok, fim=stop
  ma1 PMC5589093-r1: 279s, 1157 tok, fim=stop
  ma1 PMC5589093-r2: 162s, 1183 tok, fim=stop
  ma1 PMC6907038-r1: 203s, 1113 tok, fim=stop
  ma1 PMC6907038-r2: 132s, 1008 tok, fim=stop
  ma1 REF26-r1: 262s, 1107 tok, fim=stop
  ma1 REF26-r2: 117s, 865 tok, fim=stop
  ma1 REF29-r1: 277s, 1167 tok, fim=stop
  ma1 REF29-r2: 169s, 1230 tok, fim=stop
  ma1 REF30-r1: 181s, 850 tok, fim=stop
  ma1 REF30-r2: 144s, 1090 tok, fim=stop
  ma1 REF33-r1: 265s, 1177 tok, fim=stop
  ma1 REF33-r2: 157s, 1151 tok, fim=stop
  ma1 REF41-r1: 217s, 1004 tok, fim=stop
  ma1 REF41-r2: 104s, 770 tok, fim=stop
  ma1 REF47-r1: 222s, 1053 tok, fim=stop
  ma1 REF47-r2: 143s, 1071 tok, fim=stop
===== Study 7 · ma2 · gemma12 · 7 primaries x 2 (clean texts)
  ma2 PMC5048014-r1: 162s, 476 tok, fim=stop
  ma2 PMC5048014-r2: 62s, 461 tok, fim=stop
  ma2 PMC5329646-r1: 191s, 481 tok, fim=stop
  ma2 PMC5329646-r2: 67s, 486 tok, fim=stop
  ma2 PMC6024764-r1: 149s, 465 tok, fim=stop
  ma2 PMC6024764-r2: 65s, 484 tok, fim=stop
  ma2 PMC7535044-r1: 199s, 464 tok, fim=stop
  ma2 PMC7535044-r2: 60s, 437 tok, fim=stop
  ma2 PMC9606840-r1: 177s, 511 tok, fim=stop
  ma2 PMC9606840-r2: 72s, 528 tok, fim=stop
  ma2 REF12-r1: 213s, 515 tok, fim=stop
  ma2 REF12-r2: 81s, 587 tok, fim=stop
  ma2 REF9-r1: 166s, 478 tok, fim=stop
  ma2 REF9-r2: 65s, 485 tok, fim=stop

== STUDY 7 EXTRACTION COMPLETE in 119.3 min
